BARCODE,BARCODE ADDED,BARCODE PRINTED,ITEM NAME,CATEGORY NAME,SKU,HSN,UNIT NAME,ALERT QTY,BRAND NAME,LOT NUMBER,PRICE BEFORE TAX,PRICE AFTER TAX,TAX NAME,TAX VALUE,TAX TYPE,SALES PRICE,OPENING STOCK,CUSTOM BARCODE,SELLER POINTS,ITEM DESCIPTION,DISCOUNT TYPE,DISCOUNT,MRP,PIECE COUNT
,,,A3F BUTTER CHICKEN MOMOS 500 GM,FROZEN FOOD(NON VEG),,19022010,PAC,20,APRIL 3RD FOODS,,140.46,140.58,12,16.8552,INCLUSIVE,200,0,,,,,,350.00,20
,,,A3F CHICKEN BARBEQUE MOMOS 500 GM,FROZEN FOOD(NON VEG),,19022010,PAC,20,APRIL 3RD FOODS,,130.78,130.9,12,15.6936,,200,0,,,,,,350.00,20
,,,A3F CHICKEN CHEESE KURKURE MOMOS 500 GM,FROZEN FOOD(NON VEG),,19022010,PAC,20,APRIL 3RD FOODS,,173.6,173.72,12,20.832,,250,0,,,,,,350.00,20
,,,A3F CHICKEN CHEESE MOMOS 500 GM,FROZEN FOOD(NON VEG),,19022010,PAC,20,APRIL 3RD FOODS,,164.69,164.81,12,19.7628,,220,0,,,,,,350.00,20
,,,A3F CHICKEN KURKURE MOMOS 500 GM,FROZEN FOOD(NON VEG),,19022010,PAC,20,APRIL 3RD FOODS,,130.2,130.32,12,15.624,,200,0,,,,,,350.00,20
,,,A3F CHICKEN MOMOS 500 GM,FROZEN FOOD(NON VEG),,19022010,PAC,20,APRIL 3RD FOODS,,121.09,121.21,12,14.5308,,180,0,,,,,,300.00,20
,,,A3F CHICKEN PEPPER BAO 500 GM,FROZEN FOOD(NON VEG),,19022010,PAC,20,APRIL 3RD FOODS,,124.55,124.67,12,14.946,,169.64,0,,,,,,223.21,20
,,,A3F CHICKEN PERI PERI BAO 500 GM,FROZEN FOOD(NON VEG),,19022010,PAC,20,APRIL 3RD FOODS,,139.5,139.62,12,16.74,,190,0,,,,,,250.00,20
,,,A3F CHICKEN PERI PERI MOMOS 500 GM,FROZEN FOOD(NON VEG),,19022010,PAC,20,APRIL 3RD FOODS,,130.78,130.9,12,15.6936,,200,0,,,,,,350.00,20
,,,A3F CHICKEN SCHEZWAN MOMOS 500 GM,FROZEN FOOD(NON VEG),,19022010,PAC,20,APRIL 3RD FOODS,,130.78,130.9,12,15.6936,,200,0,,,,,,350.00,20
,,,A3F CHICKEN TIKKA BAO 500 GM,FROZEN FOOD(NON VEG),,19022010,PAC,20,APRIL 3RD FOODS,,124.55,124.67,12,14.946,,124.55,0,,,,,,124.55,20
,,,A3F CHICKEN TIKKA MOMOS 500 GM,FROZEN FOOD(NON VEG),,19022010,PAC,20,APRIL 3RD FOODS,,130.78,130.9,12,15.6936,,200,0,,,,,,350.00,20
,,,A3F COCO BUN BAO 500 GM,FROZEN FOOD(VEG),,19022010,PAC,20,APRIL 3RD FOODS,,139.5,139.62,12,16.74,,190,0,,,,,,250.00,20
,,,A3F CORN & CHEESE MOMOS 500 GM,FROZEN FOOD(VEG),,19022010,PAC,20,APRIL 3RD FOODS,,164.69,164.81,12,19.7628,,230.01,0,,,,,,350.00,20
,,,A3F MIX VEG KURKURE MOMOS 500 GM,FROZEN FOOD(VEG),,19022010,PAC,20,APRIL 3RD FOODS,,114.7,114.82,12,13.764,,180,0,,,,,,300.00,20
,,,A3F MIX VEG MOMOS 500 GM,FROZEN FOOD(VEG),,19022010,PAC,20,APRIL 3RD FOODS,,106.56,106.68,12,12.7872,,170,0,,,,,,300.00,20
,,,A3F PANEER MOMOS 500 GM,FROZEN FOOD(VEG),,19022010,PAC,20,APRIL 3RD FOODS,,135.63,135.75,12,16.2756,,190,0,,,,,,300.00,20
,,,A3F VEG SCHEZWAN MOMOS,FROZEN FOOD(VEG),,19022010,PAC,20,APRIL 3RD FOODS,,116.25,116.37,12,13.95,,180,0,,,,,,300.00,20
,,,AF FROZEN BREADED FISH FINGER 1 KG,SEA FOOD,,16041290,PAC,20,AMAR FOODS,,410.71,410.83,12,49.2852,,560,0,,,,,,750.00,12
,,,AF FROZEN BREADED FISH STRIPS 500 GM,SEA FOOD,,16041290,PAC,20,AMAR FOODS,,220,220.12,12,26.4,,320,0,,,,,,425.00,12
,,,AF FROZEN FISH CHEESE BALL 1 KG,SEA FOOD,,16041290,PAC,20,AMAR FOODS,,440,440.18,18,79.2,,620,0,,,,,,850.00,12
,,,AF FROZEN FISH NUGGETS,SEA FOOD,,16041290,PAC,20,AMAR FOODS,,425,425.12,12,51,,550,0,,,,,,800.00,12
,,,AF FROZEN INDIAN MACKEREL 6/8,SEA FOOD,,03035910,PAC,20,AMAR FOODS,,145,145.05,5,7.25,,250,0,,,,,,300.00,12
,,,AF FROZEN PRAWN CHEESE BALL 1 KG,SEA FOOD,,16041290,PAC,20,AMAR FOODS,,450,450.18,18,81,,620,0,,,,,,850.00,12
,,,AF FROZEN PRAWN SAMOSA 1 KG,SEA FOOD,,16041290,PAC,20,AMAR FOODS,,460,460.12,12,55.2,,600,0,,,,,,850.00,12
,,,AF FROZEN PRAWN SPRING ROLLS 1 KG,SEA FOOD,,16041290,PAC,20,AMAR FOODS,,440,440.12,12,52.8,,600,0,,,,,,800.00,12
,,,AF FROZEN S. POMFRET 100/200,SEA FOOD,,03038950,PAC,20,AMAR FOODS,,714.29,714.34,5,35.7145,,1000,0,,,,,,1300.00,12
,,,AF FROZEN SURMAI STEAKS 10/15,SEA FOOD,,03038940,PAC,20,AMAR FOODS,,600,600.05,5,30,,1150,0,,,,,,1200.00,12
,,,AF FROZEN SURMAI STEAKS 6/7,SEA FOOD,,03038940,PAC,20,AMAR FOODS,,840,840.05,5,42,,1150,0,,,,,,1800.00,12
,,,AF FROZEN TANDOORI FISH FINGER 1 KG,SEA FOOD,,16041290,PAC,20,AMAR FOODS,,430,430.12,12,51.6,,580,0,,,,,,800.00,12
,,,AL CHICKEN CHEESE KURKURE MOMOS,FROZEN FOOD(NON VEG),,,PAC,20,AL MOMOS,,155,155,0,0,,220,0,,,,,,350.00,12
,,,AL CHICKEN CHEESE MOMOS,FROZEN FOOD(NON VEG),,,PAC,20,AL MOMOS,,180,180,0,0,,220,0,,,,,,350.00,12
,,,AL CHICKEN CHEESY  MOMOS,FROZEN FOOD(NON VEG),,,PAC,20,AL MOMOS,,205,205,0,0,,250,0,,,,,,400.00,12
,,,AL CHICKEN CHEESY KURKURE MOMOS,FROZEN FOOD(NON VEG),,,PAC,20,AL MOMOS,,175,175,0,0,,250,0,,,,,,400.00,12
,,,AL CHICKEN KURKURE MOMOS,FROZEN FOOD(NON VEG),,,PAC,20,AL MOMOS,,126,126,0,0,,190,0,,,,,,300.00,12
,,,AL CHICKEN PERI PERI MOMOS,FROZEN FOOD(NON VEG),,,PAC,20,AL MOMOS,,155,155,0,0,,190,0,,,,,,300.00,12
,,,AL CHICKEN SCHEZWAN MOMOS,FROZEN FOOD(NON VEG),,,PAC,20,AL MOMOS,,143,143,0,0,,190,0,,,,,,300.00,12
,,,AL CHICKEN TANDOORI MOMOS,FROZEN FOOD(NON VEG),,,PAC,20,AL MOMOS,,180,180,0,0,,220,0,,,,,,350.00,12
,,,AL SIMPLE CHICKEN MINI MOMOS,FROZEN FOOD(NON VEG),,,PAC,20,AL MOMOS,,105,105,0,0,,150,0,,,,,,250.00,12
,,,AL SIMPLE CHICKEN MOMOS,FROZEN FOOD(NON VEG),,,PAC,20,AL MOMOS,,130,130,0,0,,170,0,,,,,,300.00,12
,,,AL SIMPLE PANEER MOMOS,FROZEN FOOD(VEG),,,PAC,20,AL MOMOS,,143,143,0,0,,190,0,,,,,,300.00,12
,,,AL SIMPLE VEG MOMOS,FROZEN FOOD(VEG),,,PAC,20,AL MOMOS,,105,105,0,0,,150,0,,,,,,250.00,12
,,,AL VEG CHEESE MOMOS,FROZEN FOOD(VEG),,,PAC,20,AL MOMOS,,155,155,0,0,,155,0,,,,,,155.00,12
,,,AL VEG KURKURE MOMOS,FROZEN FOOD(VEG),,,PAC,20,AL MOMOS,,106,106,0,0,,170,0,,,,,,250.00,12
,,,ALLANA MUTTON CURRY CUT 1 KG,FROZEN FOOD(NON VEG),,02044300,PAC,20,ALLANA ,,559,559.05,5,27.95,,690,0,,,,,,850.00,12
,,,ALLANA MUTTON PREMIER BONELESS 1 KG,FROZEN FOOD(NON VEG),,02044300,PAC,20,ALLANA ,,809,809.05,5,40.45,,950,0,,,,,,1150.00,12
,,,"ALOO PARATHA 7"" 560 GM",FROZEN FOOD(VEG),,19059090,PAC,20,HALDIRAM,,80,80.18,18,14.4,,130,0,,,,,,150.00,12
,,,"ALOO PARATHA 7"" 560 GM",FROZEN FOOD(VEG),,19059090,PAC,20,HALDIRAM,,65,65.18,18,11.7,,130,0,,,,,,150.00,12
,,,AMUL BUTTER 500 GM,GENERAL,,04051000,PAC,20,AMUL,,241.07,241.19,12,28.9284,,285,0,,,,,,295.00,12
,,,AMUL BUTTER 500 GM,GENERAL,,04051000,PAC,20,AMUL,,240.18,240.3,12,28.8216,,285,0,,,,,,295.00,12
,,,AMUL BUTTER 500 GM,GENERAL,,04051000,PAC,20,AMUL,,250,250.12,12,30,,295,0,,,,,,305.00,12
,,,AMUL BUTTER 500 GM,GENERAL,,04051000,PAC,20,AMUL,,249.11,249.23,12,29.8932,,295,0,,,,,,305.00,12
,,,AMUL CHEESE BLOCK 1 KG,GENERAL,,04063000,PAC,20,AMUL,,451.79,451.91,12,54.2148,,530,0,,,,,,555.00,12
,,,AMUL CHEESE BLOCK 1 KG,GENERAL,,04063000,PAC,20,AMUL,,455.35,455.47,12,54.642,,530,0,,,,,,555.00,12
