SUPPLIER NAME,MOBILE,EMAIL,PHONE,GST NUMBER,TAX NUMBER,COUNTRY,STATE,POSTCODE,ADDRESS,OPENING BALANCE
VISHAL SALES CORPORATION,9892578527,vsc_jayesh@yahoo.co.in,,27ADWPG9379H1ZN,,INDIA,Maharashtra,400064,"PATEL BAUG,MARVE ROAD,OFFICE - C/6,AMIDDHARA CHS LTD.,MAMLATDARWADI ROAD NO.4,MALAD WEST,",
FOODTECH INDIA,9082699936,foodtechindia@yahoo.com,,27COYPS0394M1ZS,,INDIA,Maharashtra,400103,"GROUND FLOOR,K/4,CHURCHILL COMPOUND,IC COLONY ROAD,ST.THOMAS CHURCH MARG,BORIVALI WEST,",
CUPS N CONES,9821207525,cupsncones.rm@gmail.com,,27AAEPM1662N1ZE,,INDIA,Maharashtra,400104,"72/580,MOTILAL NAGAR NO.1,NEAR SIDDHARTH HOSPITAL,OPP SAMSUNG SERVICE CENTRE, GOREGAON WEST",
SAI GLOBAL SERVICES,8291298980,saiglobalservices@gmail.com,,27ABNFS8941G1ZL,,INDIA,Maharashtra,400086,"401,HILL VIEW IND.ESTATE,L.B.S.MARG,NEAR R-CITY MALL,AMRYT NAGAR,GHATKOPAR WEST",
TINGLISH,9326988711,,,27AAXPF5695B1ZA,,INDIA,Maharashtra,,"D-29/13,M.I.D.C.TURBHE,OPP.TAJ VIVANTA NAVI MUMBAI",
TASTY BITE EATABLES LIMITED,123456789,,,27AAACT2317A1ZZ,,INDIA,Maharashtra,412203,"C/O VASANT COLD & IQF GAT NO.372,AT POST KHUTBAV,TALUKA DAUND DISTRICT PUNE",
AA ENTERPRISES,9167451441,aaenterprisesmumbai@gmail.com,,27AWTPP2063M1ZS,,INDIA,Maharashtra,400068,"SHOP NO.2,SHASHI THAKUR COMPOUND, OPP.RBI QUARTERS,KANDERPADA,DAHISAR(W)",
CRIS & DAN FOODS LLP,8767827413,crisndanfoods@gmail.com,,27AAHFC5986A1ZE,,INDIA,Maharashtra,400059,"L.T.28/33.VIJAY NAGAR, MAROL MAROSHI ROAD, ANDHERI(EAST).",
VIJAY DISTRIBUTORS,9167236405,vg_vijaydistributors@yahoo.com,,27ACGPG0711L1ZU,,INDIA,Maharashtra,400064,"5/6 PUSHPAK BUILDING NO.3, KHETAN ESTATE MARWADI CHAWL, S.V.ROAD MALAD WEST, OPP MALAD MTNL",
WESTERN MARKETING,9322255199,accounts@westernmarketing.net,,27AACFW8773G1ZO,,INDIA,Maharashtra,400063,"B/12, SHREYAS INDL ESTATE, OFF W.E.HIGHWAY, JAICOACH, JOGESHWARI(EAST)",
ELITE ENTERPRISE,9820244638,elite.enter@yahoo.com,,27ANDPN5255G1ZX,,INDIA,Maharashtra,400093,"UNIT NO.34,SARVODAYA INDUSTRIAL ESTATE, OPP. PAPER BOX,OFF. MAHAKALI CAVES ROAD, ANDHERI EAST",
